video_url,author,comment,likes,time
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@MrAndersonWasHere,Its simple. REFUSE buying APPLE until they revert. We all know what Micron CEO said they pay 20$ for storage and charge $250 for customers for it!,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@MegaMd76,"Well there is a shortage of chemicals that are vital to the manufacture of semiconductors, like helium, due to the closure of the Straits of Hormuz. Those gulf states account for a large portion of the global supply of it and it has been stuck there since February. Someone ia to blame alright, and it's not AI.",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@YoMamaAndPapa2023,"Well, this is just going to give a huge boost to the refurbished market.",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Superpizzaland_121,I thought that the big beautiful tariffs that trump introduced weren’t going to impact consumers? 😂😂😂,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@MKBHDFILES,That's crazy!,1,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@siriusplayz5871,Boooooooo...!,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@bryan_._randolph,Bought a brand new m4 air 15in from a lady for $700 due to the son wanting a smaller MacBook. Happy to see my investment is appreciating haha,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@snickersforpotus,Overpriced dog shit becomes even more over priced dog shit,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@johncho8766,"1. Microsoft recently announced that they anticipate RAM and storage prices to double AGAIN by fall 2027.

2. At ISC 2026, Lenovo CEO, Martin Heigl, predicted that prices for DRAM and NAND chips will not fall, new normal.

3. Micron has officially locked in 16 non-cancellable Strategic Customer Agreements that guarantee high memory prices and supply volumes through 2030.",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@phirrismolip,And they told us AI was free 🤡,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ISuisIch,"2 things, create a new - usage review for that OnePlus 15, then kindly lend your voice on the OnePlus 15s, cos we're waiting and hopefully they're not expecting me to get an oppo device.",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@TeddyDaPom,"Costco canceled my macbook air 15 m5 that i bought when it was in delivery stating they are backlogged but i can reorder it again, this time at the higher price. Ridiculous.",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Shank-n7b,So glad I got mine MacBook a few days ago,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@PedroDanielBittencourt,It's the downfall of US tech industry... The world will change to Huawei/Xiaomi,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@AsifQureshi100,Boycott high price products,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@MattMcGrathOfficial,Well there goes buying the Neo for my birthday.,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@leeartlee915,"Here’s my question (even though I know it’s stupid to ask): when prices stabilize, will they adjust prices back down? I mean that’s what they do with oil",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@Dodo-ox3po,"Can someone buy me an iphone 12, please",0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@JWoodBass1,Have to afford Cook’s retirement package.,0,4 hari yang lalu
https://youtube.com/shorts/oYAnEH0JoqI?si=6ahP2uQo3P6J87nK,@ultraret,"All you YouTubers were saying how Apple was finally a ""good deal"" Tim Cook, he listened.",0,4 hari yang lalu
